decade,topic_label,target_label,shannon_entropy,normalized_entropy,topic_proportion,year
1760,3,wind,4.9457469142976835,0.8467814333471437,0.0029069767441860465,1760
1770,1,air,4.892677390892498,0.8288973945249475,0.0027322404371584695,1770
1770,4,wind,4.700196693670816,0.7962881019686088,0.00273224043715847,1770
1780,5,air,4.193929018124632,0.7476513246264298,0.003663003663003663,1780
1790,3,acid,4.126886653472049,0.7760048021197278,0.004901960784313725,1790
1800,2,acid,5.2053246288949415,0.8477886814675607,0.002155172413793104,1800
